# Millis,estlat,estlon,nextwaypoint,bearing,distance,heading
14957,39.6021070,-104.9297880,3,-108.00,27.070,301.600
15007,39.6021080,-104.9297890,3,-108.20,26.993,306.900
15057,39.6021090,-104.9297910,3,-108.50,26.908,304.500
15107,39.6021100,-104.9297920,3,-108.70,26.823,307.700
15157,39.6021100,-104.9297930,3,-109.00,26.735,304.800
15207,39.6021110,-104.9297950,3,-109.30,26.645,305.900
15257,39.6021120,-104.9297970,3,-109.60,26.545,303.800
15307,39.6021130,-104.9297980,3,-109.90,26.445,302.200
15357,39.6021140,-104.9298000,3,-110.20,26.332,299.600
15407,39.6021150,-104.9298020,3,-110.50,26.215,295.900
15457,39.6021150,-104.9298040,3,-110.80,26.085,293.300
15507,39.6021160,-104.9298060,3,-111.00,25.950,288.200
15557,39.6021160,-104.9298080,3,-111.30,25.801,285.900
15607,39.6021170,-104.9298100,3,-111.50,25.641,280.400
15657,39.6021170,-104.9298120,3,-111.80,25.468,278.300
15707,39.6021170,-104.9298150,3,-112.00,25.295,272.100
15757,39.6021170,-104.9298170,3,-112.20,25.106,270.300
15807,39.6021170,-104.9298190,3,-112.30,24.912,263.900
15857,39.6021170,-104.9298220,3,-112.40,24.714,262.800
15907,39.6021170,-104.9298240,3,-112.60,24.503,257.400
15957,39.6021160,-104.9298270,3,-112.60,24.285,256.300
16007,39.6021160,-104.9298290,3,-112.70,24.071,252.300
16057,39.6021150,-104.9298320,3,-112.80,23.856,251.500
16107,39.6021140,-104.9298340,3,-112.80,23.625,249.000
16157,39.6021140,-104.9298370,3,-112.80,23.409,248.700
16207,39.6021130,-104.9298390,3,-112.80,23.178,247.900
16257,39.6021120,-104.9298410,3,-112.80,22.957,247.400
16307,39.6021110,-104.9298440,3,-112.80,22.726,247.500
16357,39.6021110,-104.9298460,3,-112.80,22.500,247.500
16407,39.6021100,-104.9298490,3,-112.80,22.259,248.200
16457,39.6021090,-104.9298520,3,-112.80,22.017,248.100
16507,39.6021080,-104.9298540,3,-112.90,21.791,250.000
16557,39.6021080,-104.9298570,3,-112.90,21.551,249.900
16607,39.6021070,-104.9298590,3,-112.90,21.300,251.900
16657,39.6021060,-104.9298620,3,-113.00,21.055,251.700
16707,39.6021050,-104.9298650,3,-113.00,20.810,253.800
16757,39.6021050,-104.9298680,3,-113.10,20.560,253.600
16807,39.6021040,-104.9298710,3,-113.20,20.311,255.700
16857,39.6021040,-104.9298740,3,-113.30,20.058,255.400
16907,39.6021030,-104.9298760,3,-113.50,19.801,257.500
16957,39.6021030,-104.9298790,3,-113.60,19.549,257.100
17007,39.6021020,-104.9298820,3,-113.80,19.303,258.600
17057,39.6021020,-104.9298850,3,-113.90,19.043,258.300
17107,39.6021010,-104.9298880,3,-114.10,18.783,259.700
17157,39.6021010,-104.9298910,3,-114.30,18.524,259.300
17207,39.6021000,-104.9298940,3,-114.50,18.271,260.000
17257,39.6021000,-104.9298970,3,-114.70,18.023,259.400
17307,39.6020990,-104.9299000,3,-114.90,17.769,259.100
17357,39.6020990,-104.9299030,3,-115.10,17.511,258.500
17407,39.6020980,-104.9299060,3,-115.30,17.247,257.900
17457,39.6020980,-104.9299100,3,-115.50,16.982,256.800
17507,39.6020970,-104.9299130,3,-115.70,16.722,255.400
17557,39.6020970,-104.9299160,3,-115.90,16.455,254.800
17607,39.6020960,-104.9299190,3,-116.00,16.193,253.900
17657,39.6020950,-104.9299220,3,-116.20,15.926,253.300
17707,39.6020950,-104.9299250,3,-116.40,15.648,252.300
17757,39.6020940,-104.9299280,3,-116.50,15.380,251.400
17807,39.6020930,-104.9299310,3,-116.60,15.106,249.800
17857,39.6020920,-104.9299340,3,-116.80,14.836,249.500
17907,39.6020910,-104.9299370,3,-116.90,14.556,248.600
17957,39.6020900,-104.9299400,3,-117.00,14.286,248.100
18007,39.6020890,-104.9299430,3,-117.10,14.006,247.100
18057,39.6020880,-104.9299460,3,-117.20,13.725,246.600
18107,39.6020870,-104.9299490,3,-117.20,13.450,246.200
18157,39.6020860,-104.9299520,3,-117.30,13.169,246.100
18207,39.6020850,-104.9299550,3,-117.40,12.888,245.300
18257,39.6020840,-104.9299580,3,-117.40,12.607,245.000
18307,39.6020830,-104.9299610,3,-117.50,12.326,244.600
18357,39.6020820,-104.9299640,3,-117.50,12.039,244.400
18407,39.6020810,-104.9299670,3,-117.60,11.763,243.800
18457,39.6020800,-104.9299700,3,-117.60,11.482,243.500
18507,39.6020790,-104.9299730,3,-117.60,11.196,243.700
18557,39.6020780,-104.9299760,3,-117.70,10.904,243.500
18607,39.6020770,-104.9299790,3,-117.70,10.623,244.200
18657,39.6020750,-104.9299820,3,-117.70,10.332,244.100
18707,39.6020740,-104.9299850,3,-117.80,10.046,244.300
18757,39.6020730,-104.9299880,3,-117.90,9.754,244.100
18807,39.6020720,-104.9299910,3,-117.90,9.468,244.500
18857,39.6020710,-104.9299940,3,-118.00,9.182,244.200
18907,39.6020700,-104.9299970,3,-118.10,8.906,244.300
18957,39.6020690,-104.9300000,3,-118.10,8.615,243.700
19007,39.6020680,-104.9300030,3,-118.20,8.324,244.200
19057,39.6020660,-104.9300060,3,-118.30,8.027,243.600
19107,39.6020650,-104.9300090,3,-118.40,7.731,243.500
19157,39.6020640,-104.9300120,3,-118.40,7.435,243.900
19207,39.6020630,-104.9300150,3,-118.50,7.149,243.800
19257,39.6020620,-104.9300180,3,-118.60,6.858,243.400
19307,39.6020610,-104.9300210,3,-118.70,6.561,243.100
19357,39.6020590,-104.9300240,3,-118.80,6.260,242.500
19407,39.6020580,-104.9300280,3,-118.90,5.959,243.400
19457,39.6020570,-104.9300310,3,-119.00,5.663,243.200
19507,39.6020560,-104.9300340,3,-119.10,5.361,243.100
19557,39.6020540,-104.9300370,3,-119.20,5.065,242.600
19607,39.6020530,-104.9300400,3,-119.30,4.764,242.200
19657,39.6020520,-104.9300430,3,-119.40,4.468,242.100
19707,39.6020510,-104.9300460,3,-119.50,4.171,241.800
19757,39.6020490,-104.9300490,3,-119.60,3.865,241.900
19807,39.6020480,-104.9300520,3,-119.70,3.569,241.600
19857,39.6020470,-104.9300550,3,-119.90,3.267,241.500
19907,39.6020460,-104.9300580,4,-120.00,2.981,241.100
19957,39.6020440,-104.9300610,4,171.20,15.298,241.300
20007,39.6020430,-104.9300640,4,170.10,15.201,241.100
20057,39.6020420,-104.9300680,4,169.00,15.104,240.600
20107,39.6020400,-104.9300710,4,168.00,15.007,238.800
20157,39.6020390,-104.9300740,4,166.90,14.906,236.500
20207,39.6020370,-104.9300760,4,165.80,14.798,233.500
20257,39.6020360,-104.9300790,4,164.70,14.680,230.100
20307,39.6020340,-104.9300820,4,163.60,14.548,226.900
20357,39.6020320,-104.9300840,4,162.60,14.413,224.200
20407,39.6020300,-104.9300870,4,161.50,14.268,221.000
20457,39.6020280,-104.9300890,4,160.50,14.115,218.000
20507,39.6020260,-104.9300910,4,159.60,13.960,214.600
20557,39.6020240,-104.9300930,4,158.60,13.789,212.700
20607,39.6020210,-104.9300950,4,157.60,13.613,209.600
20657,39.6020190,-104.9300960,4,156.60,13.428,207.200
20707,39.6020170,-104.9300980,4,155.60,13.236,203.400
20757,39.6020140,-104.9300990,4,154.70,13.035,200.800
20807,39.6020120,-104.9301000,4,153.80,12.828,196.600
20857,39.6020090,-104.9301010,4,152.90,12.609,194.600
20907,39.6020070,-104.9301020,4,152.00,12.388,190.600
20957,39.6020040,-104.9301020,4,151.20,12.166,188.200
21007,39.6020020,-104.9301030,4,150.40,11.929,183.800
21057,39.6019990,-104.9301030,4,149.60,11.685,182.200
21107,39.6019960,-104.9301030,4,148.80,11.437,178.400
21157,39.6019940,-104.9301030,4,148.20,11.191,176.400
21207,39.6019910,-104.9301030,4,147.40,10.927,173.700
21257,39.6019890,-104.9301020,4,146.80,10.670,172.100
21307,39.6019860,-104.9301020,4,146.10,10.415,171.100
21357,39.6019830,-104.9301010,4,145.40,10.145,169.400
21407,39.6019810,-104.9301010,4,144.80,9.884,169.400
21457,39.6019780,-104.9301000,4,144.10,9.624,168.100
21507,39.6019760,-104.9300990,4,143.30,9.359,168.600
21557,39.6019730,-104.9300990,4,142.60,9.095,167.100
21607,39.6019710,-104.9300980,4,141.80,8.826,167.200
21657,39.6019680,-104.9300970,4,141.00,8.567,166.200
21707,39.6019660,-104.9300960,4,140.10,8.314,166.000
21757,39.6019630,-104.9300950,4,139.30,8.051,164.400
21807,39.6019610,-104.9300940,4,138.40,7.797,164.400
21857,39.6019580,-104.9300930,4,137.40,7.534,162.500
21907,39.6019560,-104.9300920,4,136.50,7.271,162.300
21957,39.6019530,-104.9300910,4,135.50,7.013,160.600
22007,39.6019510,-104.9300900,4,134.40,6.750,160.200
22057,39.6019480,-104.9300890,4,133.30,6.488,159.100
22107,39.6019460,-104.9300880,4,132.20,6.231,159.000
22157,39.6019430,-104.9300870,4,131.00,5.971,157.400
22207,39.6019410,-104.9300850,4,129.70,5.715,156.700
22257,39.6019390,-104.9300840,4,128.30,5.456,155.300
22307,39.6019360,-104.9300830,4,126.90,5.201,154.400
22357,39.6019340,-104.9300810,4,125.40,4.943,152.900
22407,39.6019320,-104.9300790,4,123.80,4.685,151.800
22457,39.6019290,-104.9300780,4,122.10,4.433,150.700
22507,39.6019270,-104.9300760,4,120.20,4.179,149.400
22557,39.6019250,-104.9300740,4,118.10,3.921,147.900
22607,39.6019230,-104.9300730,4,115.90,3.673,146.400
22657,39.6019210,-104.9300710,4,113.60,3.428,144.800
22707,39.6019180,-104.9300690,4,110.80,3.176,143.200
