# Millis,estlat,estlon,nextwaypoint,bearing,distance,heading
14011,39.5974900,-104.9327470,2,-165.90,9.632,190.700
14061,39.5974890,-104.9327480,2,-165.90,9.522,192.000
14111,39.5974880,-104.9327480,2,-165.90,9.406,197.200
14161,39.5974870,-104.9327480,2,-166.00,9.296,198.100
14211,39.5974860,-104.9327490,2,-166.00,9.181,202.800
14261,39.5974850,-104.9327490,2,-166.20,9.067,203.300
14311,39.5974840,-104.9327500,2,-166.30,8.949,207.500
14361,39.5974830,-104.9327510,2,-166.50,8.837,207.500
14411,39.5974820,-104.9327510,2,-166.70,8.727,212.800
14461,39.5974810,-104.9327520,2,-167.00,8.608,212.400
14511,39.5974810,-104.9327530,2,-167.30,8.502,218.300
14561,39.5974800,-104.9327540,2,-167.60,8.393,217.500
14611,39.5974790,-104.9327550,2,-168.10,8.283,223.300
14661,39.5974780,-104.9327560,2,-168.50,8.180,221.900
14711,39.5974770,-104.9327570,2,-169.00,8.075,227.100
14761,39.5974770,-104.9327580,2,-169.50,7.977,224.700
14811,39.5974760,-104.9327590,2,-170.00,7.877,229.700
14861,39.5974750,-104.9327600,2,-170.60,7.780,226.900
14911,39.5974740,-104.9327610,2,-171.20,7.689,233.000
14961,39.5974740,-104.9327620,2,-171.90,7.594,229.900
15011,39.5974730,-104.9327630,2,-172.50,7.505,233.900
15061,39.5974720,-104.9327650,2,-173.20,7.420,230.700
15111,39.5974720,-104.9327660,2,-173.90,7.333,234.100
15161,39.5974710,-104.9327670,2,-174.60,7.247,230.400
15211,39.5974700,-104.9327680,2,-175.40,7.157,232.800
15261,39.5974690,-104.9327690,2,-176.10,7.071,228.500
15311,39.5974690,-104.9327700,2,-176.80,6.988,231.200
15361,39.5974680,-104.9327710,2,-177.60,6.902,226.800
15411,39.5974670,-104.9327720,2,-178.40,6.810,228.800
15461,39.5974660,-104.9327740,2,-179.10,6.726,224.300
15511,39.5974660,-104.9327750,2,-179.80,6.637,225.700
15561,39.5974650,-104.9327760,2,179.40,6.550,221.400
15611,39.5974640,-104.9327770,2,178.70,6.458,222.200
15661,39.5974630,-104.9327770,2,177.90,6.365,217.800
15711,39.5974620,-104.9327780,2,177.20,6.277,218.400
