# Millis,estlat,estlon,nextwaypoint,bearing,distance,heading
1750,39.6019080,-104.9300340,1,71.40,29.864,0.100
1800,39.6019080,-104.9300340,1,71.40,29.864,0.100
1850,39.6019080,-104.9300340,1,71.40,29.864,0.100
1900,39.6019080,-104.9300340,1,71.40,29.864,0.100
1950,39.6019080,-104.9300340,1,71.40,29.864,0.100
2000,39.6019080,-104.9300340,1,71.40,29.864,0.100
2050,39.6019080,-104.9300340,1,71.40,29.864,0.100
2100,39.6019080,-104.9300340,1,71.40,29.864,0.100
2150,39.6019080,-104.9300340,1,71.40,29.864,0.100
2200,39.6019080,-104.9300340,1,71.40,29.864,0.100
2250,39.6019080,-104.9300340,1,71.40,29.864,0.100
2300,39.6019080,-104.9300340,1,71.40,29.864,0.100
2350,39.6019080,-104.9300340,1,71.40,29.864,0.100
2400,39.6019080,-104.9300340,1,71.40,29.864,0.100
2450,39.6019080,-104.9300340,1,71.40,29.864,0.100
2500,39.6019080,-104.9300340,1,71.40,29.864,0.100
2550,39.6019080,-104.9300340,1,71.40,29.864,0.100
2600,39.6019080,-104.9300340,1,71.40,29.864,0.100
2650,39.6019080,-104.9300340,1,71.40,29.864,0.100
2700,39.6019080,-104.9300340,1,71.40,29.864,0.100
2750,39.6019080,-104.9300340,1,71.40,29.864,0.100
2800,39.6019080,-104.9300340,1,71.40,29.864,0.100
2850,39.6019080,-104.9300340,1,71.40,29.864,0.100
2900,39.6019080,-104.9300340,1,71.40,29.864,0.100
2950,39.6019080,-104.9300340,1,71.40,29.864,0.000
3000,39.6019080,-104.9300340,1,71.40,29.864,0.000
3050,39.6019080,-104.9300340,1,71.40,29.864,0.000
3100,39.6019080,-104.9300340,1,71.40,29.864,0.000
3150,39.6019080,-104.9300340,1,71.40,29.864,0.000
3200,39.6019080,-104.9300340,1,71.40,29.864,0.000
3250,39.6019080,-104.9300340,1,71.40,29.864,0.000
3300,39.6019080,-104.9300340,1,71.40,29.864,0.000
3350,39.6019080,-104.9300340,1,71.40,29.864,0.000
3400,39.6019080,-104.9300340,1,71.40,29.864,0.000
3450,39.6019080,-104.9300340,1,71.40,29.864,0.000
3500,39.6019080,-104.9300340,1,71.40,29.864,0.000
3550,39.6019080,-104.9300340,1,71.40,29.864,-0.000
3600,39.6019080,-104.9300340,1,71.40,29.864,0.000
3650,39.6019080,-104.9300340,1,71.40,29.864,-0.000
3700,39.6019080,-104.9300340,1,71.40,29.864,-0.000
3750,39.6019080,-104.9300340,1,71.40,29.864,-0.000
3800,39.6019080,-104.9300340,1,71.40,29.864,-0.000
3850,39.6019080,-104.9300340,1,71.40,29.864,-0.000
3900,39.6019080,-104.9300340,1,71.40,29.864,-0.000
3950,39.6019080,-104.9300340,1,71.40,29.864,-0.000
4000,39.6019080,-104.9300340,1,71.40,29.864,-0.000
4050,39.6019080,-104.9300340,1,71.40,29.864,-0.000
4100,39.6019080,-104.9300340,1,71.40,29.864,-0.000
4150,39.6019080,-104.9300340,1,71.40,29.864,-0.000
4200,39.6019080,-104.9300340,1,71.40,29.864,-0.000
4250,39.6019080,-104.9300340,1,71.40,29.864,-0.100
4300,39.6019080,-104.9300340,1,71.40,29.864,-0.100
4350,39.6019080,-104.9300340,1,71.40,29.864,-0.100
4400,39.6019080,-104.9300340,1,71.40,29.864,-0.100
4450,39.6019080,-104.9300340,1,71.40,29.864,-0.000
4500,39.6019080,-104.9300340,1,71.40,29.864,-0.100
4550,39.6019080,-104.9300340,1,71.40,29.864,359.900
4600,39.6019080,-104.9300340,1,71.40,29.864,-0.100
4650,39.6019080,-104.9300340,1,71.40,29.864,359.900
4700,39.6019080,-104.9300340,1,71.40,29.864,359.900
4750,39.6019080,-104.9300340,1,71.40,29.864,359.900
4800,39.6019080,-104.9300340,1,71.40,29.864,359.900
4850,39.6019080,-104.9300340,1,71.40,29.864,359.900
4900,39.6019080,-104.9300340,1,71.40,29.864,359.900
4950,39.6019080,-104.9300340,1,71.40,29.864,359.900
5000,39.6019080,-104.9300340,1,71.40,29.864,359.900
5050,39.6019080,-104.9300340,1,71.40,29.864,359.900
5100,39.6019080,-104.9300340,1,71.40,29.864,359.900
5150,39.6019080,-104.9300340,1,71.40,29.864,359.900
5200,39.6019080,-104.9300340,1,71.40,29.864,359.900
5250,39.6019080,-104.9300340,1,71.40,29.864,359.900
5300,39.6019080,-104.9300340,1,71.40,29.864,359.900
5350,39.6019080,-104.9300340,1,71.40,29.864,359.900
5400,39.6019080,-104.9300340,1,71.40,29.864,359.900
5450,39.6019080,-104.9300340,1,71.40,29.864,359.900
5500,39.6019080,-104.9300340,1,71.40,29.864,359.900
5550,39.6019080,-104.9300340,1,71.40,29.864,359.900
5600,39.6019080,-104.9300340,1,71.40,29.864,359.900
5650,39.6019080,-104.9300340,1,71.40,29.864,359.900
5700,39.6019080,-104.9300340,1,71.40,29.864,359.900
5750,39.6019080,-104.9300340,1,71.40,29.864,359.900
5800,39.6019080,-104.9300340,1,71.40,29.864,359.900
5850,39.6019080,-104.9300340,1,71.40,29.864,359.900
5900,39.6019080,-104.9300340,1,71.40,29.864,359.900
5950,39.6019080,-104.9300340,1,71.40,29.864,359.900
6000,39.6019080,-104.9300340,1,71.40,29.864,359.900
6050,39.6019080,-104.9300340,1,71.50,29.861,360.100
6100,39.6019090,-104.9300340,1,71.50,29.851,360.800
6150,39.6019090,-104.9300340,1,71.60,29.826,361.300
6200,39.6019100,-104.9300340,1,71.80,29.789,361.900
6250,39.6019110,-104.9300340,1,72.00,29.754,363.000
6300,39.6019120,-104.9300340,1,72.10,29.709,111.400
6350,39.6019120,-104.9300320,1,72.00,29.624,112.700
6400,39.6019110,-104.9300310,1,71.80,29.530,113.700
6450,39.6019110,-104.9300300,1,71.70,29.433,113.700
6500,39.6019100,-104.9300280,1,71.50,29.328,113.000
6550,39.6019100,-104.9300270,1,71.30,29.215,112.100
6600,39.6019090,-104.9300250,1,71.10,29.085,110.800
6650,39.6019080,-104.9300230,1,70.90,28.960,109.200
6700,39.6019080,-104.9300210,1,70.70,28.825,107.300
6750,39.6019080,-104.9300190,1,70.50,28.687,105.700
6800,39.6019070,-104.9300170,1,70.30,28.540,95.900
6850,39.6019070,-104.9300150,1,70.10,28.372,93.700
6900,39.6019070,-104.9300130,1,70.00,28.200,86.600
6950,39.6019070,-104.9300110,1,69.90,28.016,85.500
7000,39.6019070,-104.9300080,1,69.80,27.827,80.400
7050,39.6019080,-104.9300060,1,69.70,27.629,79.400
7100,39.6019080,-104.9300040,1,69.60,27.436,75.000
